item_id;name;description;lang
1;Bottom burger bun (white);This bottom burger bun is made from white flour and is the foundation of our classic burgers. It's crispy on the outside and soft on the inside, providing the perfect base for our juicy patties.;en
1;Onderste hamburgerbroodje (wit);Dit onderste hamburgerbroodje is gemaakt van witte bloem en vormt de basis van onze klassieke burgers. Het is knapperig van buiten en zacht van binnen en vormt de perfecte basis voor onze sappige vleeslapjes.;nl
1;Baguette de fond (blanche);Ce pain à hamburger inférieur est fabriqué à partir de farine blanche et constitue la base de nos hamburgers classiques. Croustillant à l'extérieur et moelleux à l'intérieur, il constitue la base parfaite pour nos galettes juteuses.;fr
2;Top burger bun (white);This top hamburger bun is made from white flour and forms the base of our classic burgers. Crunchy on the outside and soft on the inside, it is the perfect base for our juicy patties;en
2;Bovenste hamburgerbroodje (wit);Dit bovenste hamburgerbroodje is gemaakt van witte bloem en vormt de basis van onze klassieke burgers. Het is knapperig van buiten en zacht van binnen, en vormt de perfecte basis voor onze sappige vleeslapjes.;nl
2;Pain à hamburger inférieur (blanche);Ce pain à hamburger supérieur est fabriqué à partir de farine blanche et constitue la base de nos hamburgers classiques. Croustillant à l'extérieur et moelleux à l'intérieur, il constitue la base parfaite pour nos tranches de viande juteuses.;fr
3;Bottom burger bun (sweet);This sweet burger bun has a cinnamon sugar coating on the inside. It is perfect for adding your favorite toppings like meats and cheeses.;en
3;Onderste hamburgerbroodje (gesuikerd);Dit onderste hamburgerbroodje heeft een suikerzure smaak in het midden. Het is perfect voor het toevoegen van je favoriete toppings zoals vlees en kaas.;nl
3;Pain à hamburger supérieur (sucré);Ce petit pain pour hamburger a une saveur sucrée au milieu. Il est parfait pour ajouter vos garnitures préférées telles que la viande et le fromage.;fr
4;Top burger bun (sweet);This sweet burger bun has a cinnamon sugar coating on the inside. It is perfect for adding your favorite toppings like meats and cheeses.;en
4;Bovenste hamburgerbroodje (gesuikerd);Dit bovenste hamburgerbroodje heeft een suikerzure smaak in het midden. Het is perfect voor het toevoegen van je favoriete toppings zoals vlees en kaas.;nl
4;Pain à hamburger inférieur (sucré);Ce pain à hamburger supérieur a une saveur sucrée au centre. Il est parfait pour ajouter vos garnitures préférées telles que la viande et le fromage.;fr
5;Bottom burger bun (toasted);Our crispy, toasted bottom bun is made with a blend of flour, yeast, and water. It's been sprinkled with a pinch of salt for added flavor.;en
5;Onderste hamburgerbroodje (getoast);Ons knapperig, gerookt onderste broodje is gemaakt met een blend van bloem, gist en water. Het is versprenkeld met een beetje zout voor extra smaak.;nl
5;Pain à hamburger supérieur (grillé);Notre petit pain croustillant et fumé est fabriqué à partir d'un mélange de farine, de levure et d'eau. Il est saupoudré d'un peu de sel pour plus de saveur.;fr
6;Top burger bun (toasted);Our crispy, toasted top bun is made with a blend of flour, yeast, and water. It's been sprinkled with a pinch of salt for added flavor.;en
6;Bovenste hamburgerbroodje (getoast);Ons knapperig, gerookt bovenste broodje is gemaakt met een blend van bloem, gist en water. Het is versprenkeld met een beetje zout voor extra smaak.;nl
